VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

SPEC: 1897.058 1898.603 4.981109E-17 3.419424E-17 1
SPEC: 1898.603 1900.147 1.225327E-16 3.595295E-17 1
SPEC: 1900.147 1901.691 9.040505E-17 3.514394E-17 1
SPEC: 1901.691 1903.235 -1.577822E-17 3.286290E-17 1
SPEC: 1903.235 1904.780 -1.324875E-17 3.236546E-17 1
SPEC: 1904.780 1906.324 -2.875816E-17 3.200217E-17 1
SPEC: 1906.324 1907.868 -8.618999E-18 3.223058E-17 1
SPEC: 1907.868 1909.412 7.103920E-17 3.402886E-17 1
SPEC: 1909.412 1910.957 3.114529E-17 3.279560E-17 1
SPEC: 1910.957 1912.501 -5.061546E-17 3.018101E-17 1
SPEC: 1912.501 1914.045 -6.274036E-18 3.119696E-17 1
SPEC: 1914.045 1915.589 5.458687E-17 3.255486E-17 1
SPEC: 1915.589 1917.134 3.084605E-17 3.216541E-17 1
SPEC: 1917.134 1918.678 5.498167E-17 3.267496E-17 1
SPEC: 1918.678 1920.222 1.302391E-16 3.422514E-17 1
SPEC: 1920.222 1921.767 1.301067E-16 3.390711E-17 1
SPEC: 1921.767 1923.311 1.946706E-17 3.067886E-17 1
SPEC: 1923.311 1924.855 -9.111234E-18 3.013375E-17 1
SPEC: 1924.855 1926.399 4.771002E-17 3.164701E-17 1
SPEC: 1926.399 1927.944 5.323992E-17 3.158279E-17 1
SPEC: 1927.944 1929.488 -9.725209E-18 2.946743E-17 1
SPEC: 1929.488 1931.032 -8.927660E-18 2.948494E-17 1
SPEC: 1931.032 1932.576 4.838827E-17 3.082127E-17 1
SPEC: 1932.576 1934.121 8.079877E-17 3.168151E-17 1
SPEC: 1934.121 1935.665 3.943912E-17 3.039409E-17 1
SPEC: 1935.665 1937.209 -5.825951E-18 2.909941E-17 1
SPEC: 1937.209 1938.754 7.856229E-18 2.923269E-17 1
SPEC: 1938.754 1940.298 5.341512E-17 3.041594E-17 1
SPEC: 1940.298 1941.842 2.831141E-17 2.957542E-17 1
SPEC: 1941.842 1943.386 3.112593E-17 2.947639E-17 1
SPEC: 1943.386 1944.931 2.848035E-17 2.923792E-17 1
SPEC: 1944.931 1946.475 1.530427E-17 2.910008E-17 1
SPEC: 1946.475 1948.019 1.463426E-17 2.826292E-17 1
SPEC: 1948.019 1949.563 5.018433E-17 2.956740E-17 1
SPEC: 1949.563 1951.108 1.015661E-16 3.084876E-17 1
SPEC: 1951.108 1952.652 4.254877E-17 2.892257E-17 1
SPEC: 1952.652 1954.196 -5.158618E-17 2.624059E-17 1
SPEC: 1954.196 1955.740 1.555891E-17 2.801234E-17 1
SPEC: 1955.740 1957.285 6.430580E-17 2.917027E-17 1
SPEC: 1957.285 1958.829 4.039743E-17 2.859442E-17 1
SPEC: 1958.829 1960.373 6.090397E-17 2.897621E-17 1
SPEC: 1960.373 1961.918 3.720099E-17 2.842118E-17 1
SPEC: 1961.918 1963.462 -3.183798E-17 2.647232E-17 1
